ds,ts,max_temp,min_temp
2018-01-01,7365.989375000000,28.3,20.8
2018-01-02,7895.121666666670,28.7,20.7
2018-01-03,7501.373541666670,23.8,20.0
2018-01-04,7557.751458333330,24.5,17.4
2018-01-05,8021.308125000000,27.9,17.4
2018-01-06,8428.290208333330,30.8,20.8
2018-01-07,9279.19541666667,43.7,22.7
2018-01-08,9537.097916666670,36.3,21.9
2018-01-09,8863.333125000000,32.8,21.8
2018-01-10,7973.787500000000,23.8,19.1
2018-01-11,8194.981666666670,25.3,19.2
2018-01-12,9096.434375000000,29.9,21.4
2018-01-13,8261.405416666670,35.7,22.7
2018-01-14,6761.608125,22.4,14.9
2018-01-15,7536.762291666670,23.4,16.4
2018-01-16,7586.3112500000000,21.5,18.2
2018-01-17,7593.115208333330,22.9,17.1
2018-01-18,8067.645208333340,28.4,15.4
2018-01-19,8651.321041666660,32.0,17.7
2018-01-20,8127.257500000000,34.6,18.5
2018-01-21,8241.83416666667,30.6,19.9
2018-01-22,9487.685000000000,34.5,21.5
2018-01-23,9134.865625,29.2,22.3
2018-01-24,9361.735625000000,31.3,21.0
2018-01-25,9036.550000000000,28.9,22.4
2018-01-26,8360.904375000000,28.7,23.4
2018-01-27,8623.958958333340,30.4,23.6
2018-01-28,8358.972708333330,29.2,23.8
2018-01-29,9259.067500000000,30.8,22.8
2018-01-30,9331.290208333340,32.0,21.6
2018-01-31,7815.342916666670,21.8,17.9
2018-02-01,7550.9608333333300,22.1,16.9
2018-02-02,7558.487083333330,22.8,15.5
2018-02-03,7019.301041666670,24.5,16.4
2018-02-04,6954.396250000000,25.8,17.2
2018-02-05,7949.361041666670,26.7,17.0
2018-02-06,8224.863541666670,27.9,19.4
2018-02-07,8421.662708333330,29.1,21.2
2018-02-08,8839.054583333330,30.5,20.3
2018-02-09,9088.977708333330,28.1,21.3
2018-02-10,8522.340416666670,29.6,21.6
2018-02-11,7824.958750000000,28.1,22.1
2018-02-12,8811.228541666670,29.0,21.1
2018-02-13,9055.318125,28.8,22.3
2018-02-14,9745.825833333340,40.0,22.9
2018-02-15,9036.201875000000,29.7,21.0
2018-02-16,8582.759166666670,28.7,19.9
2018-02-17,7980.711875000000,29.2,21.4
2018-02-18,8250.160208333330,30.1,22.6
2018-02-19,8680.440833333330,28.8,22.7
2018-02-20,7813.634791666670,23.1,20.0
2018-02-21,7839.380625000000,25.6,17.9
2018-02-22,8073.973125000000,27.9,19.2
2018-02-23,8490.405416666670,29.8,19.2
2018-02-24,8578.295833333340,33.3,21.2
2018-02-25,7526.032708333330,21.8,20.9
2018-02-26,7726.061666666670,22.2,17.0
2018-02-27,7777.536250000000,24.8,17.4
2018-02-28,8126.143958333330,30.5,17.0
2018-03-01,8186.889791666660,25.3,21.0
2018-03-02,8040.941666666670,25.0,18.6
2018-03-03,7897.154791666670,29.5,20.3
